"Piezo Voltage (V)";"Fast In 3 (V)";"Fast In 4 (V)";
42.201305;-0.0041325674;0.01205426;
42.201794;-0.0039716093;0.011178529;
42.20229;-0.0040166187;0.012291294;
42.202774;-0.0044762553;0.0098152757;
42.20327;-0.0042913244;0.0095936526;
42.203758;-0.0043784082;0.0095890043;
42.204254;-0.0043771849;0.0087996237;
42.204739;-0.0044329576;0.011639633;
42.205235;-0.0045990529;0.0084045669;
42.205723;-0.0043835449;0.0093700718;
42.206219;-0.0045951391;0.0083544208;
42.206703;-0.0043691127;0.0085780006;
42.207199;-0.0045195525;0.0092007965;
42.207687;-0.0046340334;0.0099865077;
42.208183;-0.0042744456;0.0090055922;
42.208668;-0.0044273315;0.008150165;
42.209164;-0.0046474873;0.0084933629;
42.209652;-0.0045249341;0.0084542241;
42.210148;-0.004639904;0.0096102869;
42.210632;-0.004611773;0.0091183605;
42.211128;-0.0047301678;0.007470862;
42.211617;-0.0045310492;0.0077979155;
42.212112;-0.004757076;0.0079588741;
42.212597;-0.0047876532;0.0084405253;
42.213085;-0.0047695516;0.007877172;
42.213581;-0.0047216062;0.0068130856;
42.214077;-0.004890637;0.0063935667;
42.214561;-0.0044958242;0.0073544243;
42.215057;-0.0046298746;0.0067680762;
42.215546;-0.0045831529;0.0073580933;
42.216042;-0.0048064888;0.0066232625;
42.216526;-0.004678309;0.0062039881;
42.217022;-0.0048245904;0.0059593706;
42.21751;-0.0048847664;0.0064221872;
42.218006;-0.0049559497;0.0062947413;
42.218491;-0.0048828092;0.00640433;
42.218979;-0.0047624577;0.0063326568;
42.219475;-0.004893817;0.0074728192;
42.219971;-0.0048632398;0.0057526692;
42.220455;-0.0047976822;0.0045129475;
42.220951;-0.0050004702;0.0043170089;
42.221439;-0.004951302;0.0059251245;
42.221935;-0.0050537968;0.0034610925;
42.22242;-0.0050471923;0.0033055157;
42.222916;-0.0051626517;0.0055951355;
42.223404;-0.0049432297;0.0042475378;
42.2239;-0.0053429347;0.0054596174;
42.224384;-0.005262211;0.0038759639;
42.22488;-0.0049202358;0.0058294791;
42.225368;-0.0049055587;0.0066200825;
42.225864;-0.0051347651;0.0057472875;
42.226349;-0.0053422009;0.0054862807;
42.226845;-0.0052098627;0.0050092763;
42.227333;-0.005319207;0.0059393123;
42.227818;-0.005243131;0.0066308458;
42.228313;-0.0052604987;0.0059114257;
42.228802;-0.0053818291;0.0050635817;
42.229298;-0.0052343244;0.0049990024;
42.229782;-0.0048563904;0.004608104;
42.230278;-0.0054953313;0.0048226332;
42.230774;-0.0053842752;0.0048086904;
42.231262;-0.0053776703;0.0052798232;
42.231747;-0.0051296283;0.0040462175;
42.232243;-0.0053184731;0.0045687202;
42.232731;-0.0053854981;0.0034549772;
42.233227;-0.0053820736;0.0060880394;
