in s,C1 in V
-5.9517740E+00,5.81055E-02
-5.9516824E+00,5.61523E-02
-5.9515907E+00,5.71289E-02
-5.9514990E+00,6.10352E-02
-5.9514074E+00,7.08008E-02
-5.9513157E+00,5.61523E-02
-5.9512241E+00,6.10352E-02
-5.9511324E+00,6.00586E-02
-5.9510408E+00,5.90820E-02
-5.9509491E+00,6.20117E-02
-5.9508575E+00,6.49414E-02
-5.9507658E+00,6.68945E-02
-5.9506741E+00,6.29883E-02
-5.9505825E+00,5.22461E-02
-5.9504908E+00,6.39648E-02
-5.9503992E+00,5.41992E-02
-5.9503075E+00,6.29883E-02
-5.9502159E+00,5.90820E-02
-5.9501242E+00,6.29883E-02
-5.9500326E+00,6.00586E-02
-5.9499409E+00,5.51758E-02
-5.9498492E+00,5.81055E-02
-5.9497576E+00,6.78711E-02
-5.9496659E+00,6.10352E-02
-5.9495743E+00,5.51758E-02
-5.9494826E+00,6.20117E-02
-5.9493910E+00,5.90820E-02
-5.9492993E+00,6.29883E-02
-5.9492076E+00,5.61523E-02
-5.9491160E+00,6.49414E-02
-5.9490243E+00,5.12695E-02
-5.9489327E+00,5.71289E-02
-5.9488410E+00,5.81055E-02
-5.9487494E+00,5.51758E-02
-5.9486577E+00,5.32227E-02
-5.9485661E+00,5.22461E-02
-5.9484744E+00,6.39648E-02
-5.9483827E+00,6.39648E-02
-5.9482911E+00,5.22461E-02
-5.9481994E+00,6.00586E-02
-5.9481078E+00,6.68945E-02
-5.9480161E+00,5.90820E-02
-5.9479245E+00,5.81055E-02
-5.9478328E+00,6.00586E-02
-5.9477412E+00,6.00586E-02
-5.9476495E+00,5.51758E-02
-5.9475578E+00,5.71289E-02
-5.9474662E+00,6.68945E-02
-5.9473745E+00,6.00586E-02
-5.9472829E+00,5.51758E-02
-5.9471912E+00,6.10352E-02
-5.9470996E+00,6.10352E-02
-5.9470079E+00,5.51758E-02
-5.9469162E+00,5.90820E-02
-5.9468246E+00,5.81055E-02
-5.9467329E+00,6.20117E-02
-5.9466413E+00,6.59180E-02
-5.9465496E+00,5.41992E-02
-5.9464580E+00,5.61523E-02
-5.9463663E+00,5.71289E-02
-5.9462747E+00,5.71289E-02
-5.9461830E+00,5.61523E-02
-5.9460913E+00,5.90820E-02
-5.9459997E+00,6.49414E-02
-5.9459080E+00,6.00586E-02
-5.9458164E+00,6.49414E-02
-5.9457247E+00,6.10352E-02
-5.9456331E+00,5.61523E-02
-5.9455414E+00,5.90820E-02
-5.9454498E+00,6.20117E-02
-5.9453581E+00,6.00586E-02
-5.9452664E+00,5.81055E-02
-5.9451748E+00,6.00586E-02
-5.9450831E+00,6.39648E-02
-5.9449915E+00,5.81055E-02
-5.9448998E+00,6.00586E-02
-5.9448082E+00,6.00586E-02
-5.9447165E+00,5.90820E-02
-5.9446248E+00,5.90820E-02
-5.9445332E+00,5.81055E-02
-5.9444415E+00,5.61523E-02
-5.9443499E+00,5.81055E-02
-5.9442582E+00,6.49414E-02
-5.9441666E+00,5.61523E-02
-5.9440749E+00,6.10352E-02
-5.9439833E+00,5.81055E-02
-5.9438916E+00,6.29883E-02
-5.9437999E+00,6.20117E-02
-5.9437083E+00,6.49414E-02
-5.9436166E+00,6.10352E-02
-5.9435250E+00,6.39648E-02
-5.9434333E+00,6.68945E-02
-5.9433417E+00,5.71289E-02
-5.9432500E+00,6.20117E-02
-5.9431584E+00,6.39648E-02
-5.9430667E+00,6.00586E-02
-5.9429750E+00,5.61523E-02
-5.9428834E+00,5.32227E-02
-5.9427917E+00,5.32227E-02
-5.9427001E+00,6.39648E-02
-5.9426084E+00,6.10352E-02
-5.9425168E+00,6.39648E-02
-5.9424251E+00,6.39648E-02
-5.9423334E+00,6.00586E-02
-5.9422418E+00,6.68945E-02
-5.9421501E+00,6.39648E-02
-5.9420585E+00,6.20117E-02
-5.9419668E+00,5.51758E-02
-5.9418752E+00,6.10352E-02
-5.9417835E+00,6.39648E-02
-5.9416919E+00,5.61523E-02
-5.9416002E+00,6.00586E-02
-5.9415085E+00,6.00586E-02
-5.9414169E+00,6.39648E-02
-5.9413252E+00,5.61523E-02
-5.9412336E+00,6.49414E-02
-5.9411419E+00,5.90820E-02
